Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_abstr_110,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_112,4.49E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_113,4.28E-1,3.83E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_114,2.80E-2,2.38E-2,6.27E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_abstr_115,8.18E-2,6.87E-2,1.47E-1,2.78E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_A,5.43E-9,7.92E-9,8.40E-9,5.87E-10,8.99E-10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_B,1.47E-1,1.70E-1,1.10E-1,5.95E-3,1.76E-2,6.41E-7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_C,2.85E-1,3.15E-1,2.21E-1,2.19E-2,5.52E-2,6.28E-7,3.74E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_D,4.83E-1,4.53E-1,4.31E-1,7.75E-2,1.64E-1,2.51E-7,1.94E-1,3.18E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_E,3.28E-1,3.60E-1,2.66E-1,3.30E-2,7.56E-2,3.03E-7,2.79E-1,4.16E-1,3.80E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_F,2.58E-2,3.21E-2,1.97E-2,6.67E-4,2.06E-3,3.30E-5,1.92E-1,1.25E-1,5.02E-2,8.11E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_G,1.87E-5,3.08E-5,2.40E-5,2.67E-7,7.11E-7,1.17E-3,2.68E-3,1.78E-3,4.32E-4,8.22E-4,4.13E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_H,1.27E-2,1.58E-2,9.74E-3,4.08E-4,1.17E-3,1.17E-4,1.31E-1,8.60E-2,3.22E-2,4.99E-2,3.90E-1,8.21E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_101,3.25E-1,2.98E-1,4.21E-1,1.42E-1,2.73E-1,2.61E-8,9.03E-2,1.72E-1,3.44E-1,2.40E-1,1.81E-2,5.69E-5,1.09E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,2.04E-1,2.29E-1,1.53E-1,1.17E-2,3.20E-2,2.92E-6,4.88E-1,3.81E-1,2.16E-1,3.18E-1,1.89E-1,4.84E-3,1.35E-1,1.13E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_103,2.74E-1,2.64E-1,3.99E-1,2.14E-1,3.73E-1,2.81E-6,1.33E-1,2.28E-1,3.93E-1,3.00E-1,3.81E-2,8.15E-4,3.10E-2,4.82E-1,1.54E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,2.77E-1,3.18E-1,2.17E-1,1.05E-2,3.31E-2,4.97E-7,3.83E-1,4.54E-1,2.56E-1,4.21E-1,1.15E-1,9.25E-4,7.25E-2,1.45E-1,4.34E-1,1.46E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_105,2.04E-1,2.29E-1,1.53E-1,1.17E-2,3.20E-2,5.84E-6,4.92E-1,3.77E-1,2.10E-1,3.14E-1,2.03E-1,5.42E-3,1.44E-1,1.13E-1,4.92E-1,1.49E-1,4.22E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,3.25E-1,2.98E-1,4.21E-1,1.42E-1,2.73E-1,3.63E-8,9.75E-2,1.81E-1,3.48E-1,2.47E-1,2.00E-2,7.57E-5,1.25E-2,4.95E-1,1.17E-1,4.91E-1,1.45E-1,1.17E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_111,3.33E-1,2.96E-1,4.31E-1,8.37E-2,1.96E-1,6.29E-9,8.76E-2,1.85E-1,3.88E-1,2.39E-1,1.47E-2,1.41E-5,8.01E-3,4.60E-1,1.24E-1,4.16E-1,1.59E-1,1.24E-1,4.65E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_112,4.91E-1,4.83E-1,3.82E-1,4.27E-2,1.11E-1,6.94E-8,2.05E-1,3.36E-1,4.44E-1,4.32E-1,4.94E-2,1.77E-4,3.21E-2,2.82E-1,2.41E-1,2.91E-1,2.81E-1,2.38E-1,2.93E-1,3.29E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,4.53E-1,4.32E-1,4.35E-1,8.96E-2,1.90E-1,2.72E-7,1.88E-1,2.96E-1,5.00E-1,4.06E-1,5.02E-2,4.51E-4,3.62E-2,3.44E-1,2.07E-1,3.97E-1,2.33E-1,2.04E-1,3.61E-1,4.09E-1,4.23E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_114,2.95E-1,3.14E-1,2.17E-1,3.31E-2,7.57E-2,7.76E-7,3.66E-1,4.70E-1,3.44E-1,3.90E-1,1.30E-1,2.56E-3,9.81E-2,1.84E-1,3.57E-1,2.78E-1,4.25E-1,3.57E-1,2.02E-1,2.04E-1,3.79E-1,3.36E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_115,4.20E-1,4.32E-1,3.05E-1,6.68E-2,1.41E-1,1.17E-5,3.57E-1,4.83E-1,3.55E-1,4.31E-1,1.39E-1,6.31E-3,1.10E-1,2.21E-1,3.59E-1,3.02E-1,3.64E-1,3.40E-1,2.31E-1,2.93E-1,4.36E-1,3.55E-1,4.65E-1,--,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_Centroid,5.37E-9,7.83E-9,8.30E-9,5.79E-10,8.87E-10,4.07E-1,5.78E-7,6.42E-7,2.76E-7,2.71E-7,4.37E-5,9.89E-4,1.37E-4,2.43E-8,3.04E-6,2.77E-6,5.46E-7,6.63E-6,3.53E-8,5.88E-9,6.24E-8,2.20E-7,6.55E-7,1.39E-5,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_FreqSum,2.55E-9,3.70E-9,4.27E-9,3.77E-10,5.23E-10,1.89E-1,7.92E-7,1.02E-6,4.20E-7,3.33E-7,7.20E-5,3.58E-3,2.24E-4,2.21E-8,7.05E-6,7.19E-6,8.94E-7,1.16E-5,3.62E-8,3.69E-9,7.64E-8,4.37E-7,1.19E-6,4.24E-5,2.08E-1,--,--,--,--,--,--,--,--,--,--,--
Machines_base_GreedyKL,1.57E-9,1.95E-9,1.93E-9,3.83E-10,5.31E-10,4.77E-1,1.46E-7,2.41E-7,1.05E-7,6.37E-8,1.55E-5,2.96E-4,3.54E-5,7.12E-9,1.44E-6,2.27E-6,2.93E-7,2.69E-6,1.26E-8,1.99E-9,2.45E-8,9.26E-8,2.01E-7,8.84E-6,5.00E-1,1.47E-1,--,--,--,--,--,--,--,--,--,--
Machines_base_LexRank,1.05E-8,1.47E-8,1.62E-8,1.54E-9,2.20E-9,1.61E-1,3.81E-6,4.81E-6,1.56E-6,1.05E-6,1.98E-4,8.24E-3,5.68E-4,1.01E-7,2.12E-5,1.54E-5,2.42E-6,3.10E-5,1.71E-7,1.62E-8,3.67E-7,1.76E-6,7.16E-6,1.10E-4,1.78E-1,3.88E-1,1.16E-1,--,--,--,--,--,--,--,--,--
Machines_base_TsSum,6.11E-9,9.37E-9,1.04E-8,5.60E-10,8.59E-10,6.70E-2,3.67E-6,4.82E-6,1.32E-6,1.08E-6,2.98E-4,1.68E-2,8.63E-4,6.87E-8,2.47E-5,1.51E-5,2.40E-6,3.44E-5,1.24E-7,8.85E-9,2.42E-7,1.44E-6,6.85E-6,1.24E-4,6.31E-2,2.21E-1,3.46E-2,3.25E-1,--,--,--,--,--,--,--,--
Machines_soa_CLASSY04,3.03E-8,3.92E-8,3.31E-8,3.32E-9,5.76E-9,8.81E-2,3.94E-6,6.02E-6,2.53E-6,1.31E-6,2.77E-4,1.14E-2,6.02E-4,1.04E-7,4.26E-5,2.79E-5,9.44E-6,5.93E-5,1.94E-7,3.01E-8,4.87E-7,1.80E-6,3.76E-6,1.65E-4,8.47E-2,3.15E-1,5.89E-2,4.80E-1,3.61E-1,--,--,--,--,--,--,--
Machines_soa_CLASSY11,3.13E-6,5.17E-6,4.22E-6,5.54E-8,1.37E-7,1.29E-2,4.68E-4,3.06E-4,7.44E-5,1.66E-4,1.09E-2,2.34E-1,2.51E-2,9.88E-6,9.93E-4,2.05E-4,1.78E-4,1.21E-3,1.29E-5,2.46E-6,2.94E-5,8.41E-5,4.46E-4,1.44E-3,1.14E-2,3.97E-2,5.06E-3,6.18E-2,1.10E-1,9.61E-2,--,--,--,--,--,--
Machines_soa_DPP,3.84E-8,6.86E-8,7.50E-8,1.23E-9,2.28E-9,4.43E-2,2.02E-5,1.46E-5,3.33E-6,7.51E-6,1.24E-3,5.02E-2,3.87E-3,3.44E-7,5.94E-5,2.23E-5,5.57E-6,8.88E-5,4.70E-7,4.60E-8,9.36E-7,4.67E-6,3.06E-5,1.81E-4,4.43E-2,1.58E-1,2.56E-2,1.94E-1,3.43E-1,3.05E-1,1.96E-1,--,--,--,--,--
Machines_soa_ICSISumm,2.49E-7,4.49E-7,3.95E-7,3.52E-9,8.52E-9,1.84E-2,9.23E-5,6.92E-5,1.22E-5,2.68E-5,3.57E-3,1.46E-1,1.01E-2,1.28E-6,2.21E-4,4.56E-5,2.61E-5,2.96E-4,1.92E-6,2.12E-7,3.63E-6,1.44E-5,1.12E-4,3.80E-4,1.76E-2,5.81E-2,7.46E-3,8.45E-2,1.55E-1,1.25E-1,3.84E-1,2.97E-1,--,--,--,--
Machines_soa_OCCAMS_V,9.66E-6,1.54E-5,1.22E-5,1.91E-7,4.74E-7,2.49E-3,1.59E-3,1.07E-3,2.60E-4,4.38E-4,2.73E-2,3.91E-1,5.72E-2,3.33E-5,2.95E-3,5.98E-4,5.27E-4,3.53E-3,4.49E-5,8.17E-6,1.13E-4,3.04E-4,1.65E-3,4.75E-3,2.49E-3,8.31E-3,8.37E-4,1.73E-2,3.44E-2,2.21E-2,3.26E-1,9.53E-2,2.15E-1,--,--,--
Machines_soa_RegSum,2.42E-8,3.76E-8,3.56E-8,1.22E-9,2.26E-9,1.66E-1,3.36E-6,3.92E-6,1.59E-6,1.26E-6,2.01E-4,8.79E-3,5.17E-4,8.68E-8,2.05E-5,8.50E-6,3.91E-6,3.14E-5,1.37E-7,2.06E-8,2.59E-7,8.56E-7,2.79E-6,5.85E-5,2.10E-1,4.45E-1,1.76E-1,4.34E-1,2.68E-1,3.54E-1,6.82E-2,2.11E-1,8.62E-2,1.75E-2,--,--
Machines_soa_Submodular,8.12E-7,1.34E-6,1.08E-6,1.48E-8,3.62E-8,7.83E-2,7.33E-5,4.80E-5,1.25E-5,3.48E-5,2.41E-3,7.18E-2,6.35E-3,1.86E-6,1.79E-4,5.03E-5,3.79E-5,2.59E-4,2.36E-6,5.57E-7,4.67E-6,1.29E-5,5.81E-5,2.36E-4,8.57E-2,2.37E-1,5.78E-2,2.62E-1,4.11E-1,4.30E-1,2.34E-1,4.92E-1,3.18E-1,1.12E-1,2.88E-1,--
