system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``,0,,,'',:,,,$,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N]
D30047.M.100.T.B,8,7,0,3,4,1,0,0,1,117,6,0,54,3,0,4,2,4,2,2,0,0,2,0,0,19,2,5,14,0,0,14,7,0,0,0,1,25,6,13,0,0,2,4,0,3,0,0,0,0,4,0,4,8,1,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,1,11
D30049.M.100.T.B,9,5,0,5,3,1,0,0,5,116,5,0,30,1,0,14,0,0,3,0,0,0,0,0,0,18,4,1,13,0,0,12,10,0,1,0,2,21,8,18,0,0,0,3,0,1,0,0,0,0,4,0,5,0,2,0,2,7,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,14
D30024.M.100.T.A,5,6,0,5,0,0,0,0,1,110,1,0,24,1,11,0,1,4,4,0,0,0,0,0,0,21,3,2,10,0,0,14,4,0,0,0,0,9,5,20,2,0,1,2,4,3,0,0,1,0,3,0,3,10,3,1,0,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,11
D30038.M.100.T.A,6,5,0,6,0,0,0,0,2,108,3,0,19,1,4,3,5,10,3,0,0,0,0,4,2,32,1,6,10,0,0,14,5,0,0,0,1,11,10,22,1,0,0,0,1,2,0,0,0,0,2,0,3,9,2,1,0,0,0,0,0,0,1,6,0,1,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,12
D30056.M.100.T.H,6,5,0,4,1,1,0,0,1,121,0,0,19,2,5,4,3,2,3,0,0,0,0,0,0,19,1,2,16,0,0,13,6,0,0,0,0,19,7,14,0,0,2,2,1,1,0,0,0,0,2,0,1,9,1,6,0,2,1,0,0,0,0,6,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,14
D30036.M.100.T.F,7,3,0,5,0,2,0,0,1,116,7,1,37,1,4,4,8,0,6,0,0,0,1,0,0,24,3,4,13,0,0,12,10,0,0,0,0,21,2,16,2,0,4,1,1,1,0,0,0,0,4,0,2,7,1,1,2,2,2,0,0,0,1,7,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,13
D30056.M.100.T.G,7,4,0,5,2,0,0,0,4,108,0,0,36,1,0,3,0,5,7,2,0,1,0,0,0,19,7,2,12,0,0,8,10,0,0,0,0,16,9,9,1,0,0,0,2,5,0,0,0,0,2,0,2,8,1,3,3,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,2,1,0,0,0,0,0,0,11
D30026.M.100.T.A,5,4,0,4,0,1,0,0,1,105,2,0,41,1,0,1,2,18,1,0,0,0,0,0,0,23,4,2,7,0,0,11,9,0,0,0,2,14,2,19,2,0,3,1,1,1,0,0,0,0,3,0,6,6,2,2,0,0,0,0,0,0,0,5,4,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,13
D30020.M.100.T.D,8,4,0,5,1,2,0,0,1,114,5,0,36,2,0,6,2,0,7,0,1,0,0,0,0,18,3,3,14,0,0,10,9,2,0,0,0,15,10,10,4,0,3,1,2,3,1,0,0,0,3,0,3,9,3,0,0,0,0,0,0,0,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,13
D31026.M.100.T.H,5,6,0,5,0,0,0,0,3,124,6,3,38,5,12,0,6,5,2,3,0,0,2,0,0,35,1,7,18,0,0,17,10,0,1,0,0,21,2,18,5,0,2,0,0,1,0,0,0,0,1,0,1,6,2,3,2,1,0,3,0,0,0,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,15
D30006.M.100.T.A,7,4,0,4,3,0,0,0,2,115,5,1,38,1,0,0,10,4,0,4,0,0,0,3,2,24,0,10,18,0,0,15,10,0,1,0,0,14,10,8,0,0,0,2,1,3,0,0,0,0,3,0,3,9,3,2,0,0,1,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D31001.M.100.T.E,7,5,0,6,0,1,0,0,4,121,3,0,23,1,2,2,0,5,0,5,0,0,0,0,0,15,4,2,13,0,0,12,5,0,1,0,0,17,8,9,0,0,2,3,2,3,0,0,0,0,6,0,5,1,3,6,3,9,0,1,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,15
D31043.M.100.T.F,7,6,0,7,0,0,0,0,1,116,1,0,30,0,11,2,0,5,3,4,0,0,0,0,0,25,5,1,13,0,0,7,5,0,0,0,0,18,3,25,0,0,2,0,1,1,0,0,0,0,3,0,3,8,1,4,0,2,0,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,11
D30008.M.100.T.G,6,1,1,4,0,1,0,0,2,117,4,0,87,1,1,5,2,0,4,0,0,0,0,0,0,13,6,1,15,0,0,14,19,0,0,0,2,18,11,8,1,0,2,1,0,2,0,0,0,0,0,0,2,0,2,1,2,4,0,1,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,9
D31033.M.100.T.E,6,4,0,4,2,0,0,0,1,110,0,0,74,1,2,0,2,7,4,0,0,0,0,0,0,16,5,2,13,0,0,11,11,0,0,0,1,17,5,15,0,0,3,0,1,3,0,0,0,0,2,0,2,1,5,1,2,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,10
D30055.M.100.T.E,7,5,0,6,1,0,0,0,1,111,4,0,50,2,6,3,3,5,0,3,0,0,0,0,0,22,3,4,11,0,0,15,6,0,1,0,1,19,3,16,0,0,2,0,1,3,0,0,0,0,5,0,5,4,1,3,0,3,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,10
D30034.M.100.T.D,7,5,0,5,0,2,0,0,3,115,2,1,45,0,3,18,4,2,4,0,0,0,0,0,0,31,6,2,10,0,0,13,9,0,0,0,0,14,4,25,0,0,1,2,1,3,0,0,0,0,2,0,2,2,2,4,2,6,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,10
D30037.M.100.T.H,3,2,0,3,0,0,0,1,1,113,3,0,39,0,4,4,3,0,8,0,0,0,0,0,0,19,3,3,13,0,0,17,13,1,0,0,0,23,5,10,1,0,0,1,1,2,0,0,0,0,3,0,2,4,0,1,0,2,1,0,0,0,2,3,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,7
D30056.M.100.T.E,8,4,0,8,0,0,0,0,5,114,2,0,29,4,0,4,0,3,7,0,0,0,0,0,0,18,1,4,14,0,0,11,8,0,0,0,0,10,12,8,1,0,1,2,0,4,1,0,1,0,0,0,0,8,5,8,3,2,0,1,1,0,0,8,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,2,1,0,0,0,0,0,0,14
D31032.M.100.T.E,7,2,0,3,2,2,0,0,3,116,1,1,48,1,3,4,2,0,1,2,0,0,0,0,0,13,3,3,9,0,0,12,8,0,0,0,0,21,6,8,0,0,2,5,6,5,0,0,0,0,5,0,3,4,1,5,1,5,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,0,0,0,0,0,0,0,13
D30050.M.100.T.H,5,5,0,4,0,1,0,0,2,104,3,0,17,1,2,0,2,3,4,0,0,0,0,0,0,12,3,2,11,0,0,11,9,1,1,0,2,10,7,10,3,0,0,3,3,1,0,0,1,0,4,0,4,6,2,2,0,0,0,0,0,1,0,5,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,12
D30044.M.100.T.D,6,6,0,5,1,0,0,0,6,115,1,1,28,1,5,11,1,5,4,0,0,0,0,0,0,27,5,2,10,0,0,15,6,0,1,0,0,12,3,21,2,0,1,1,0,2,0,0,0,0,5,0,3,5,2,7,2,6,0,0,0,0,0,6,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,0,0,0,0,0,0,0,14
D30033.M.100.T.G,6,3,0,6,0,0,0,0,0,116,7,0,31,1,0,4,3,3,2,1,0,1,0,0,0,15,2,3,17,0,0,8,12,0,0,0,2,20,5,7,0,0,0,0,0,4,0,0,0,0,1,0,2,8,5,1,0,1,1,1,0,1,0,6,14,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,2,3,0,0,0,0,0,0,17
D30002.M.100.T.C,5,5,0,5,0,0,0,0,3,107,4,0,25,2,7,4,0,2,2,2,0,0,0,0,0,19,4,3,10,0,0,8,4,0,0,0,0,16,7,21,0,0,0,0,1,2,0,0,2,0,6,0,2,7,3,4,0,0,1,0,0,1,0,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,12
D30022.M.100.T.C,7,5,0,6,0,1,0,0,4,112,2,0,30,0,10,4,0,1,0,2,0,0,0,0,0,17,2,1,9,0,0,8,10,0,0,0,0,12,7,16,0,0,0,2,1,1,0,0,1,0,7,0,8,6,6,6,1,2,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,1,1,0,0,0,0,0,0,15
D30044.M.100.T.C,5,6,0,5,0,0,0,0,1,104,0,0,50,0,5,12,1,0,4,1,0,0,0,0,0,23,0,0,9,0,0,17,7,0,0,0,0,18,3,20,0,0,2,0,0,0,0,0,1,0,4,0,3,5,2,3,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,7
D31050.M.100.T.F,7,4,0,6,0,1,0,0,4,99,6,0,33,0,1,5,0,3,2,0,0,0,0,0,0,11,3,0,7,0,0,8,9,0,0,0,0,17,13,9,0,0,2,4,0,2,0,0,1,0,4,0,3,4,3,6,1,5,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,1,0,0,0,0,0,0,0,14
D30005.M.100.T.B,10,3,0,8,2,0,0,0,3,119,7,0,18,2,14,10,3,3,5,0,0,0,0,0,0,37,2,3,9,1,0,15,6,0,0,0,0,20,7,29,0,0,0,0,1,1,0,0,0,0,4,0,3,1,3,3,0,8,0,0,0,0,0,10,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,2,1,0,0,0,0,0,0,17
D30005.M.100.T.C,4,4,0,4,0,0,0,0,6,102,0,0,45,0,10,6,0,1,1,0,0,0,0,0,0,18,4,0,12,0,0,16,5,0,0,0,0,12,8,18,0,0,0,1,0,6,1,0,0,0,2,0,2,2,1,7,0,4,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,10
D30033.M.100.T.D,9,4,0,5,2,2,0,0,2,123,3,0,31,1,0,9,5,3,4,0,0,0,0,0,2,24,6,5,10,0,0,9,11,0,0,0,1,15,7,17,0,0,0,2,1,2,0,0,0,0,3,0,2,3,3,3,3,5,0,0,0,0,1,9,9,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,13
D31001.M.100.T.G,8,2,0,6,2,0,0,1,4,109,2,0,26,0,2,0,2,9,0,2,0,0,0,0,0,15,4,2,13,0,0,9,8,0,0,0,1,22,6,9,0,0,2,0,0,0,0,0,0,0,3,0,4,9,3,6,0,0,0,1,0,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,5,1,0,0,0,0,0,0,15
D30042.M.100.T.D,5,10,0,5,0,0,0,0,2,118,7,0,41,3,6,16,0,4,4,0,0,0,1,0,0,34,5,3,14,0,0,14,6,0,0,0,0,11,3,28,1,0,0,1,1,1,0,0,1,0,4,0,4,1,2,5,2,6,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,10
D31009.M.100.T.F,8,5,0,5,1,2,0,0,2,116,4,0,27,1,13,1,2,2,1,1,0,0,0,0,0,21,7,2,6,0,0,7,12,0,0,0,2,14,4,20,0,0,3,2,0,3,0,0,3,0,4,0,5,11,1,3,1,1,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,1,3,0,0,0,0,0,0,0,13
D31009.M.100.T.G,6,2,0,6,0,0,0,0,6,106,8,0,35,0,2,0,1,5,1,6,0,0,0,0,0,15,4,1,12,0,0,9,13,1,0,0,3,16,7,7,0,0,0,4,0,3,0,0,1,0,7,0,8,5,1,3,1,1,1,0,0,1,0,6,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,12
D30045.M.100.T.E,6,5,0,6,0,0,0,0,1,113,3,0,24,0,0,2,0,8,0,0,0,0,0,0,0,10,6,0,10,0,0,10,9,1,2,0,3,16,14,10,0,0,1,1,0,1,1,0,0,0,3,0,6,1,4,2,6,1,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,11
D31050.M.100.T.H,4,8,1,3,0,0,0,0,4,116,1,0,24,2,10,2,0,8,2,3,0,0,0,0,0,27,7,3,6,0,0,11,6,0,0,0,2,10,12,20,0,0,1,2,0,3,0,0,0,0,4,0,4,4,1,5,1,1,1,0,0,0,0,4,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,10
D30048.M.100.T.H,5,2,0,5,0,0,0,0,3,113,2,0,24,0,0,8,0,4,0,0,0,0,1,6,0,19,1,4,14,0,0,11,9,0,1,0,0,21,4,12,0,0,5,0,0,5,0,0,0,0,3,0,3,3,2,5,1,3,0,0,0,0,0,5,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9
D30046.M.100.T.C,5,4,0,5,0,0,0,0,3,99,3,0,32,0,6,0,0,6,0,0,0,0,0,3,0,15,1,2,9,0,0,14,8,0,0,0,1,13,7,15,0,0,1,1,1,1,0,0,0,0,2,0,3,8,1,4,1,1,0,2,0,0,0,5,4,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11
D30036.M.100.T.D,8,2,0,3,1,3,1,0,1,109,6,2,26,2,4,1,5,0,7,6,0,0,1,0,0,26,3,4,10,0,0,10,12,0,0,0,1,13,4,13,0,0,1,1,0,7,0,0,1,0,3,0,3,2,1,8,1,6,0,0,0,0,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,10
D30047.M.100.T.H,5,2,0,3,1,0,1,0,0,116,4,2,61,0,4,2,2,4,3,2,0,0,1,0,0,18,3,0,15,0,0,11,13,0,0,0,2,24,4,10,0,0,0,0,1,1,0,0,0,0,6,0,5,3,2,6,0,2,1,0,0,0,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,9
D31008.M.100.T.H,5,3,0,5,0,0,0,0,8,102,3,0,27,4,3,2,0,3,1,0,0,0,0,0,0,13,4,4,8,0,0,11,8,0,0,0,1,11,15,8,0,0,0,0,1,3,0,0,0,0,5,0,4,5,1,5,4,3,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,1,1,0,1,0,0,0,0,13
D31032.M.100.T.G,9,4,0,6,2,1,0,0,2,126,3,1,32,0,1,2,1,0,3,0,0,0,2,0,0,9,4,0,7,0,0,7,10,1,0,0,2,16,4,7,1,0,1,10,5,6,0,0,0,0,6,0,9,8,2,4,0,3,0,0,0,0,1,9,8,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,9,1,0,0,0,1,1,1,0,1,0,0,0,0,19
D30002.M.100.T.A,6,2,0,4,0,2,0,1,2,119,2,0,20,4,5,7,8,3,1,0,0,0,0,0,0,28,5,8,9,0,0,10,7,0,0,0,0,12,9,21,0,1,1,1,0,3,0,0,0,0,4,0,3,10,2,0,0,0,1,0,0,0,1,6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,12
D30040.M.100.T.E,6,4,0,3,3,0,0,0,4,104,5,0,29,2,1,9,2,0,7,0,0,0,3,0,0,24,2,2,13,0,0,10,12,0,1,0,1,18,5,12,2,0,1,2,0,2,0,0,1,0,2,0,4,7,1,2,1,0,0,0,0,2,0,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10
D30059.M.100.T.G,8,5,0,5,3,0,0,0,1,127,2,0,40,1,3,5,4,0,2,0,0,0,0,0,0,15,6,2,10,0,0,11,9,0,0,0,1,18,8,8,1,0,0,3,4,6,0,0,0,0,0,0,1,9,1,9,0,1,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,1,0,0,0,0,0,0,14
D30006.M.100.T.B,9,4,0,7,1,1,0,0,4,119,4,0,18,1,2,0,0,5,0,2,0,0,1,0,0,11,3,2,8,0,0,13,3,0,1,0,4,18,15,9,0,0,1,0,0,5,2,0,0,0,2,0,7,0,0,8,3,7,1,0,0,0,0,9,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,15
D31031.M.100.T.H,5,3,0,5,0,0,0,0,2,116,4,0,45,0,0,1,3,3,1,0,0,0,0,6,0,14,5,5,13,0,0,11,8,1,0,0,1,27,6,3,0,0,0,1,0,5,0,0,0,0,4,0,3,4,3,3,0,1,0,0,0,0,0,5,11,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,10
D31038.M.100.T.E,8,3,0,7,1,0,0,0,4,107,3,0,26,1,3,10,0,3,1,0,0,0,0,0,0,18,5,1,10,1,0,18,6,0,0,0,0,12,11,16,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,4,4,7,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,13
D30015.M.100.T.A,7,6,0,6,1,0,0,0,1,112,0,0,22,1,5,4,4,4,4,0,0,0,0,0,0,22,6,3,9,0,0,11,3,0,0,0,0,11,11,16,1,0,0,1,3,2,0,0,0,0,4,0,3,14,1,3,0,0,0,0,0,0,1,7,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,6,1,1,0,0,1,0,0,18
D30048.M.100.T.C,6,5,0,6,0,0,0,0,2,113,2,0,50,0,0,5,0,1,4,0,0,0,0,0,0,10,1,0,16,1,0,17,9,0,1,0,2,18,11,6,0,0,1,1,2,2,0,0,0,0,3,0,4,5,2,4,0,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1,1,2,0,0,0,0,0,0,15
D31022.M.100.T.F,10,2,0,9,1,0,0,0,5,120,2,0,19,8,0,2,2,2,1,2,3,0,1,0,0,21,3,11,12,0,0,11,9,0,1,0,1,21,9,5,0,0,0,2,0,1,0,0,1,0,3,0,2,10,1,8,0,1,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,15
D30028.M.100.T.G,6,5,0,5,1,0,0,0,4,109,3,0,39,2,0,16,3,0,6,0,0,0,0,0,0,27,6,4,8,0,0,11,9,0,0,0,1,10,7,17,0,0,2,1,1,7,0,0,0,0,1,0,3,11,2,0,0,0,0,0,0,0,0,6,7,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,1,0,0,0,0,0,14
